url,price,rooms,area,floor,extra,lat,lon
https://krisha.kz/a/show/696213121,37000000,2,,,,43.24866557519,76.879868782421
https://krisha.kz/a/show/1000309150,39000000,2,,,,43.252136,76.910413
https://krisha.kz/a/show/1000137985,55000000,2,,,,43.24157,76.928541
https://krisha.kz/a/show/860015564,45000000,2,,,,43.243199,76.942555
https://krisha.kz/a/show/1000332426,60000000,2,,,,43.265615,76.945097
https://krisha.kz/a/show/690472493,45500000,2,,,,43.250107,76.914797
https://krisha.kz/a/show/691153241,50000000,2,,,,43.245589,76.920025
https://krisha.kz/a/show/761707633,42000000,2,,,,43.255012,76.904978
https://krisha.kz/a/show/760456813,55000000,2,,,,43.259339,76.918246
https://krisha.kz/a/show/761698155,53000000,2,,,,43.249477,76.91433
https://krisha.kz/a/show/760257761,38500000,2,,,,43.249706,76.88341
https://krisha.kz/a/show/761168358,36000000,2,,,,43.246351,76.912066
https://krisha.kz/a/show/697611335,48000000,2,,,,43.253659,76.906999
https://krisha.kz/a/show/761460042,39000000,2,,,,43.270433,76.928631
https://krisha.kz/a/show/1000334309,55000000,2,,,,43.256036,76.934946
https://krisha.kz/a/show/664382384,59000000,2,,,,43.254007975733,76.913307618385
https://krisha.kz/a/show/1000261133,38000000,2,,,,43.250823,76.902984
https://krisha.kz/a/show/1000331024,28000000,2,,,,43.267814,76.940255
https://krisha.kz/a/show/1000324830,52000000,2,,,,43.237163,76.945645
https://krisha.kz/a/show/697961033,49000000,2,,,,43.247992,76.910961
https://krisha.kz/a/show/1000325450,51000000,2,,,,43.237163,76.945645
https://krisha.kz/a/show/691753360,78000000,2,,,,43.246220846814,76.940373132207
https://krisha.kz/a/show/761441265,40000000,2,,,,43.242581,76.91203
https://krisha.kz/a/show/695924238,40000000,2,,,,43.260205,76.938737
https://krisha.kz/a/show/694268087,34500000,2,,,,43.261269,76.923618
https://krisha.kz/a/show/699446496,34500000,2,,,,43.241103225345,76.889989527065
https://krisha.kz/a/show/761721389,38500000,2,,,,43.262917,76.901178
https://krisha.kz/a/show/698045071,46000000,2,,,,43.240723,76.901699
https://krisha.kz/a/show/697485075,68000000,2,,,,43.264446,76.943354
https://krisha.kz/a/show/697392950,37000000,2,,,,43.2594667066,76.933452012197
https://krisha.kz/a/show/693277344,52000000,2,,,,43.254624,76.945959
https://krisha.kz/a/show/761289398,38500000,2,,,,43.251486,76.929987
https://krisha.kz/a/show/761330140,36000000,2,,,,43.250094,76.923861
https://krisha.kz/a/show/760725950,47000000,2,,,,43.250859894943,76.934470493391
https://krisha.kz/a/show/695257181,36000000,2,,,,43.240611,76.912811
https://krisha.kz/a/show/760287598,50000000,2,,,,43.251177,76.873303
https://krisha.kz/a/show/761838532,28900000,2,,,,43.244775668384,76.882271850761
https://krisha.kz/a/show/698742954,48000000,2,,,,43.253403,76.919612
https://krisha.kz/a/show/762338462,41000000,2,,,,43.258295,76.924606
https://krisha.kz/a/show/761929325,42000000,2,,,,43.253403,76.919585
https://krisha.kz/a/show/678099738,62000000,2,,,,43.243389,76.875882
https://krisha.kz/a/show/697244230,40000000,2,,,,43.241898,76.914779
https://krisha.kz/a/show/760526588,41700000,2,,,,43.249706,76.88341
https://krisha.kz/a/show/699316078,48000000,2,,,,43.258715,76.93535
https://krisha.kz/a/show/677694751,46000000,2,,,,43.257093,76.910036
https://krisha.kz/a/show/699808963,52000000,2,,,,43.244972,76.92077
https://krisha.kz/a/show/761918046,37000000,2,,,,43.246213,76.937668
https://krisha.kz/a/show/691869737,85000000,2,,,,43.248616,76.934587
https://krisha.kz/a/show/694703830,65000000,2,,,,43.241879,76.915578
https://krisha.kz/a/show/761914085,47000000,2,,,,43.246935,76.907736
https://krisha.kz/a/show/687477717,80000000,2,,,,43.243185,76.942573
https://krisha.kz/a/show/698694504,60000000,2,,,,43.249969,76.905158
https://krisha.kz/a/show/690308916,48000000,2,,,,43.240263,76.902023
https://krisha.kz/a/show/693609802,33000000,2,,,,43.241517,76.927921
https://krisha.kz/a/show/761904750,38500000,2,,,,43.257106,76.936266
https://krisha.kz/a/show/683846633,35000000,2,,,,43.257527,76.92484
https://krisha.kz/a/show/761674572,57000000,2,,,,43.250915,76.945923
https://krisha.kz/a/show/761952171,35000000,2,,,,43.247953,76.924274
https://krisha.kz/a/show/761654148,52000000,2,,,,43.254276,76.904628
https://krisha.kz/a/show/697298286,35000000,2,,,,43.258702,76.935377
https://krisha.kz/a/show/1000268169,32000000,2,,,,43.251144,76.934631
https://krisha.kz/a/show/698730187,56000000,2,,,,43.254276,76.904628
https://krisha.kz/a/show/762092048,42000000,2,,,,43.254749,76.924139
https://krisha.kz/a/show/682851749,54650000,2,,,,43.242739,76.934721
https://krisha.kz/a/show/761639749,32500000,2,,,,43.253592951744,76.879470557762
https://krisha.kz/a/show/699791806,41000000,2,,,,43.246574,76.889249
https://krisha.kz/a/show/761502190,25000000,2,,,,43.24989,76.884011
https://krisha.kz/a/show/697421156,42000000,2,,,,43.255833,76.938422
https://krisha.kz/a/show/1000256140,35000000,2,,,,43.258715,76.93535
https://krisha.kz/a/show/694876583,42500000,2,,,,43.243238,76.929385
https://krisha.kz/a/show/688656132,75000000,2,,,,43.249004,76.9418
https://krisha.kz/a/show/761269389,43000000,2,,,,43.264151,76.942132
https://krisha.kz/a/show/1000241291,46000000,2,,,,43.249045447396,76.914346565594
https://krisha.kz/a/show/693945358,50800000,2,,,,43.259332,76.918291
https://krisha.kz/a/show/693711202,58000000,2,,,,43.251217,76.939446
https://krisha.kz/a/show/761379176,65000000,2,,,,43.248511,76.935161
https://krisha.kz/a/show/761926890,39000000,2,,,,43.260172,76.941207
https://krisha.kz/a/show/692863299,52000000,2,,,,43.246968,76.94048
https://krisha.kz/a/show/761455714,65990000,2,,,,43.24901,76.941791
https://krisha.kz/a/show/762261113,53000000,2,,,,43.261275,76.923843
https://krisha.kz/a/show/761054607,43000000,2,,,,43.264151,76.942132
https://krisha.kz/a/show/761252378,58000000,2,,,,43.261827,76.939599
https://krisha.kz/a/show/762074974,50000000,2,,,,43.248084,76.911841
https://krisha.kz/a/show/762074314,38500000,2,,,,43.260888,76.922989
https://krisha.kz/a/show/691755786,43000000,2,,,,43.254165,76.946534
https://krisha.kz/a/show/760258021,43000000,2,,,,43.264151,76.942132
https://krisha.kz/a/show/1000219085,48000000,2,,,,43.253495,76.921211
https://krisha.kz/a/show/672140102,45000000,2,,,,43.241537,76.912596
